Nombre_Barrio;RATIO_AIRBNB_HECTAREA;PRECIO_M2;SUPERFCIE_M2;RATIO_PUERTA;RATIO_LOCAL_HECTAREA;TAM_HOGAR_MEDIO;RATIO_HOGARES_1PER;HIPOT_MEDIA;DENSIDAD_HAB;EDAD_PROMEDIO;EDAD_MEDIANA;PROPOR_DE_JUVENTUD;PROPOR_ENVEJECIMIENTO;PROPOR_DESOBREENVEJECIMIENTO;IND_ENVEJECIMIENTO;IND_JUVENTUD;IND_DEPENDENCIA;IND_ESTRUCTURA_POBLA_ACTIVA;IND_REEMPLAZO_POBLA_ACTIVA;RZ_PROGRESIVIDAD_DEMO;PROPOR_EXTRANJEROS;PROPOR_NACIDOS_FUERA_ESPAÑA;PROPOR_INMIG_EXTRANJ;TOTAL_COMPRAVENTA;SIN_ESTUDIOS;ESTUDIOS_SECUNDARIOS;ESTUDIOS_UNIVERSITARIOS
MEDIA LEGUA;0.17;2269;80.26;0.904;4.99;2.5;0.279;128283.47;178.29;47.72;49.4;11.41;26.84;34.83;235.12;42.53;61.95;76.82;50.49;107.64;7.9;13.92;5.19;139;0.225;0.488;0.287
MARROQUINA;0.06;2269;85.88;0.908;5.68;2.53;0.256;146432.74;152.88;47.65;49.97;11.18;26.2;33.47;234.31;42.68;59.7;70.03;72.36;90.28;5.27;10.19;3.34;163;0.172;0.497;0.331
LUCERO;0.36;1940;68.31;0.874;8.28;2.52;0.296;110430.63;210.06;45.63;45.64;13.27;23.16;41.44;174.51;57.3;57.3;79.2;73.55;92.71;14.55;23.8;11.18;387;0.248;0.532;0.22
LOS ROSALES;0.16;1438;64.57;0.863;9.16;2.8;0.22;81602.03;236.74;41.82;42.92;16.5;16.76;31.1;101.59;98.43;49.85;74.13;103.12;83.06;16.45;26.04;12.43;250;0.274;0.577;0.15
LOS JERÓNIMOS;0.48;6106;161.77;0.493;3.24;2.51;0.327;648955.36;37;47.99;48.29;11.3;26.8;39.79;237.14;42.17;61.54;74.64;43.38;131.36;9.44;16.09;3.52;105;0.072;0.353;0.574
LOS CÁRMENES;0.2;1920;72.86;0.898;5.64;2.63;0.266;107343.67;131.87;43.16;44.34;15.09;17.51;41.54;116.02;86.19;48.37;73.01;86.64;82.85;12.29;20.06;8.85;153;0.262;0.526;0.212
LISTA;2.38;4835;90.83;0.628;29.49;2.27;0.392;295176.81;399.01;45.84;44.45;11.64;23.9;37.9;205.25;48.72;55.15;99.03;47.11;115.6;13.34;20.25;7.44;284;0.074;0.35;0.576
LEGAZPI;0.25;3594;94.84;0.779;4.23;2.56;0.275;220668.01;133.89;37.38;39.31;20.58;7.79;27.24;37.87;264.09;39.62;75.95;85.33;111.06;6.86;11.83;3.96;94;0.063;0.355;0.582
LA PAZ;0.06;3429;116.48;0.786;3.61;2.71;0.195;219656.58;156.88;48.26;50.73;10.72;29.57;19.86;275.75;36.26;67.49;83.51;30.14;115.89;4.58;8.81;2.62;188;0.094;0.39;0.516
JUSTICIA;10.54;5252;93.19;0.641;36.26;1.96;0.497;314456.32;221.45;44.09;42.32;9.04;16.56;36.17;183.24;54.57;34.41;96.45;42.27;131.49;19.37;28.21;9.04;405;0.084;0.366;0.55
IMPERIAL;0.91;3382;79.87;0.859;8.85;2.37;0.329;174498.22;234.02;45.54;46.01;12.57;20.62;36.39;164.05;60.96;49.67;71.65;47.91;98.18;6.61;11.43;3.66;195;0.121;0.417;0.462
IBIZA;2.13;4884;88.66;0.711;25.37;2.31;0.363;260166.31;433.91;46.97;46.67;12.39;24.89;40.35;200.98;49.76;59.44;76.57;40.17;117.26;9.21;15.27;4.85;348;0.097;0.381;0.522
HORCAJO;0.01;2269;91.59;0.941;1.58;2.95;0.18;185679.02;86.27;37.93;42.21;20.54;7.52;29.55;36.61;273.14;39.01;57.45;168.63;56.86;3.71;8.66;2.21;41;0.123;0.467;0.41
HISPANOAMÉRICA;0.4;4473;105.7;0.671;11.01;2.55;0.323;314469.38;182.46;45.9;45.95;14.96;24.65;39.26;164.81;60.68;65.59;75.76;53.28;108.27;6.73;12.58;3.62;348;0.066;0.337;0.597
HELLÍN;0.05;2489;83.58;1;1.76;2.4;0.32;83837.89;160.38;48.14;48.56;12.08;26.08;60.31;215.84;46.33;61.72;75.85;72.13;93.33;9.05;17.51;6.44;179;0.353;0.554;0.093
GUINDALERA;1.1;3640;86.32;0.75;13.75;2.35;0.356;216548.09;253.65;46.91;46.31;11.45;24.92;42.47;217.59;45.96;57.16;86.84;51.48;107.3;9.3;15.7;5.45;575;0.086;0.382;0.532
GOYA;2.86;5385;91.12;0.621;33.1;2.24;0.395;276417.96;380.02;46.25;45.54;11.16;23.6;36.85;211.41;47.3;53.29;89.01;42.5;131.01;11.77;19.14;6.15;526;0.077;0.358;0.565
GAZTAMBIDE;2.59;3929;85.69;0.74;37.38;2.19;0.406;230182.12;442.39;47.46;46.68;9.75;25.67;39.87;263.2;37.99;54.84;95.51;39.51;118.44;10.32;17.12;5.92;388;0.09;0.355;0.555
FUENTELARREINA;0.01;3174;160.73;0.63;0.2;2.92;0.231;228733.71;23.12;45.45;46.89;15.83;26.22;30.19;165.61;60.38;72.57;76.05;80.2;84.24;7.48;14.39;4.13;30;0.055;0.311;0.633
FUENTE DEL BERRO;0.77;3793;77.98;0.768;13.83;2.26;0.377;188135.74;241.44;46.9;46.19;11.38;24.77;38.49;217.68;45.94;56.6;83.41;43.33;97.75;10.74;18.03;6.14;332;0.107;0.412;0.481
FONTARRÓN;0.26;1998;69.75;0.801;3.74;2.46;0.3;99302.52;173.16;47.64;47.35;12.45;27.59;43.29;221.54;45.14;66.78;76.91;71.71;85.47;11.61;21.54;7.77;224;0.271;0.543;0.186
ESTRELLA;0.21;3662;110.06;0.718;4.91;2.69;0.235;241884.3;225.86;48.24;49.46;12.82;30;29.89;234.02;42.73;74.87;74.47;43.46;94.61;3.57;7.48;1.9;179;0.08;0.363;0.557
ENTREVÍAS;0.02;1279;76.85;0.937;2.36;2.66;0.263;78167.25;56.16;43.92;44.05;14.82;20.34;41.69;137.22;72.88;54.22;81.73;76.76;90.33;12.32;18.95;8.75;362;0.408;0.523;0.069
EMBAJADORES;16.48;4017;56.08;0.819;38.08;2.05;0.475;164310.38;431.74;42.85;40.78;9.23;14.54;38.09;157.45;63.51;31.18;105.44;45.54;116.45;24.57;33.26;16.02;981;0.168;0.428;0.404
EL VISO;0.29;5241;155.25;0.563;8.83;2.82;0.291;701246.37;99.82;44.17;44.16;14.49;21.3;37.18;147.01;68.02;55.74;86.66;60.04;127.75;10.81;17.43;5.95;187;0.056;0.321;0.623
EL SALVADOR;0.08;3265;115.51;0.667;1.91;2.67;0.246;238342.6;60.51;44.92;47.93;13.19;19.5;33.66;147.83;67.64;48.58;66.02;75;93.02;7.01;12.05;3.4;76;0.109;0.434;0.457
EL PLANTÍO;0.01;3915;182.48;0.244;1.22;3.28;0.166;584908.6;7.71;41.82;43.09;20.33;19.19;27.97;94.39;105.94;65.35;72.61;60.23;88.7;7.43;13.6;4.23;25;0.076;0.315;0.609
EL PARDO;0.02;3174;95.56;0.989;0.01;2.62;0.298;142012.51;0.18;47.88;47.24;11.46;26.58;46.56;231.88;43.13;61.39;79.9;45.32;114.41;2.98;5.51;1.77;32;0.223;0.563;0.215
EL GOLOSO;0.01;3174;114.53;0.773;0.17;3.28;0.21;268211.08;6.57;32.58;36.07;33.43;8.36;53.64;25.01;399.86;71.8;81.49;182.04;105.84;4.81;8.19;2.01;335;0.079;0.291;0.629
