N_ANNO;DISTRITO;Nombre_Barrio;RATIO_AIRBNB_HECTAREA;PRECIO_M2;SUPERFCIE_M2;RATIO_PUERTA;RATIO_LOCAL_HECTAREA;TAM_HOGAR_MEDIO;RATIO_HOGARES_1PER;HIPOT_MEDIA;DENSIDAD_HAB;EDAD_PROMEDIO;EDAD_MEDIANA;PROPOR_ENVEJECIMIENTO;PROPOR_DESOBREENVEJECIMIENTO;IND_ENVEJECIMIENTO;IND_JUVENTUD;IND_DEPENDENCIA;IND_ESTRUCTURA_POBLA_ACTIVA;RZ_PROGRESIVIDAD_DEMO;PROPOR_EXTRANJEROS;PROPOR_NACIDOS_FUERA_ESPAÑA;PROPOR_INMIG_EXTRANJ;TOTAL_COMPRAVENTA;SIN_ESTUDIOS;CLUSTER_JERAR;CLUSTER_KNN
2017;LATINA;LOS CÁRMENES;0.2;1920;72.86;0.898;5.64;2.63;0.266;107343.67;131.87;43.16;44.34;17.51;41.54;116.02;86.19;48.37;73.01;82.85;12.29;20.06;8.85;153;0.262;0;0
2019;LATINA;LOS CÁRMENES;0.2;2398;72.84;0.89;5.7;2.64;0.271;132306.66;134.65;43.33;44.34;17.17;40.41;119.1;83.96;46.17;74.98;84.96;14.23;22.67;10.78;146;0.236;0;0
2018;LATINA;LOS CÁRMENES;0.2;2307;78.48;0.891;5.69;2.64;0.269;123808.16;133.07;43.3;44.42;17.36;40.97;118.64;84.29;47.05;74;86.76;13.42;21.62;10;165;0.248;0;0
2016;LATINA;LOS CÁRMENES;0.2;1884;71.71;0.9;5.63;2.64;0.268;101219.94;131.4;43.02;43.99;17.49;41.89;114.85;87.07;48.65;74.23;84.75;12.2;19.67;8.7;146;0.27;0;0
2017;RETIRO;LOS JERÓNIMOS;0.48;6106;161.77;0.493;3.24;2.51;0.327;648955.36;37;47.99;48.29;26.8;39.79;237.14;42.17;61.54;74.64;131.36;9.44;16.09;3.52;105;0.072;0;0
2019;RETIRO;LOS JERÓNIMOS;0.48;6741;155.41;0.482;3.35;2.51;0.325;619455.38;36.92;47.99;48.8;26.35;38.87;219.53;45.55;62.23;67.4;118.6;10.29;17.3;4.22;80;0.06;0;0
2018;RETIRO;LOS JERÓNIMOS;0.48;6315;146.5;0.487;3.31;2.52;0.332;795951.5;37.11;47.89;48.52;26.56;39.06;221.32;45.18;62.76;68.75;129.62;9.41;16.35;3.72;116;0.066;0;0
2016;RETIRO;LOS JERÓNIMOS;0.48;5246;146.25;0.509;3.13;2.53;0.327;497695.38;36.88;48.03;48.12;27.02;38.21;246.11;40.63;61.3;77.05;111.79;9.32;15.73;3.41;108;0.076;0;0
2017;VILLAVERDE;LOS ROSALES;0.16;1438;64.57;0.863;9.16;2.8;0.22;81602.03;236.74;41.82;42.92;16.76;31.1;101.59;98.43;49.85;74.13;83.06;16.45;26.04;12.43;250;0.274;0;0
2019;VILLAVERDE;LOS ROSALES;0.16;1869;66.07;0.862;9.2;2.85;0.221;102497.26;243.95;42.23;43.39;16.65;32.03;107.12;93.35;47.46;74.87;86.27;19.19;29.32;15.06;291;0.251;0;0
